run,n,experimental_pKD_min,experimental_pKD_max,experimental_pKD_range,experimental_delta_g_range_kcal_mol,rmse_kcal_mol,mae_kcal_mol,r2_score,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,linear_fit_slope,linear_fit_intercept,linear_fit_r_squared
xtal_nagl,32,5.029,7.938,2.909,3.9685945609166,1.2539686703671236,0.9080231058332973,-0.2241731732335026,0.20824780083211938,0.25272626837819007,0.12719941348973607,0.4878410729554675,0.08467741935483872,0.509200908053861,0.3853261890318256,-5.570068313178211,0.043367146551414076
docking_nagl,32,5.029,7.938,2.909,3.9685945609166,1.1322589247097814,0.8321768447803763,0.0019300244978517345,0.4174367910761251,0.01744914772908875,0.3632697947214076,0.04099148721983025,0.27822580645161293,0.025447698726354634,0.783872692647198,-2.2519649343269688,0.1742534745439325
docking_am1bcc,32,5.029,7.938,2.909,3.9685945609166,1.226186118475528,0.957977941310288,-0.17052926553897563,0.08415589179024623,0.6470019712760642,0.029692082111436948,0.8718441095309661,0.0,1.0,0.21302998873868298,-6.9784118018887,0.007082214123011632
docking_am1bcc_4ns,32,5.029,7.938,2.909,3.9685945609166,1.176445482802133,0.8988926615857522,-0.07748962966173578,0.2209301322527375,0.22431623622984823,0.20419759961116482,0.2622789783613496,0.17154398239250432,0.1680243504544071,0.5687509926992151,-3.9884652648451304,0.04881012333721206
docking_am1bcc_350local,32,5.029,7.938,2.909,3.9685945609166,1.0841292506461524,0.8297021683943108,0.08497784341452852,0.38118487521619626,0.031355424450784375,0.33064516129032256,0.06454885072258267,0.23790322580645165,0.057329848284523095,0.9142155288891727,-1.0049706353716115,0.14530190909358703
docking_am1bcc_0local,32,5.029,7.938,2.909,3.9685945609166,0.9129814603716381,0.6720341364415671,0.3510766477312246,0.6388860164352442,8.304318683693888e-05,0.6645894428152492,3.3470688630961536e-05,0.5120967741935485,1.7736739368754695e-05,1.1154246369243,0.7231598156607948,0.40817534199649486
