edge_key,reference_ligand_a,reference_ligand_b,reference_oriented_edge_key,docking_am1bcc_ddg_kcal_mol,docking_am1bcc_ddg_err_kcal_mol,docking_am1bcc_failed,docking_am1bcc_score,docking_nagl_oriented_edge_key,docking_nagl_ddg_kcal_mol_original_orientation,docking_nagl_ddg_err_kcal_mol,docking_nagl_failed,docking_nagl_score,docking_nagl_orientation_sign_vs_reference,docking_nagl_ddg_kcal_mol,docking_nagl_minus_docking_am1bcc_ddg_kcal_mol,docking_am1bcc_4ns_oriented_edge_key,docking_am1bcc_4ns_ddg_kcal_mol_original_orientation,docking_am1bcc_4ns_ddg_err_kcal_mol,docking_am1bcc_4ns_failed,docking_am1bcc_4ns_score,docking_am1bcc_4ns_orientation_sign_vs_reference,docking_am1bcc_4ns_ddg_kcal_mol,docking_am1bcc_4ns_minus_docking_am1bcc_ddg_kcal_mol,docking_am1bcc_350local_oriented_edge_key,docking_am1bcc_350local_ddg_kcal_mol_original_orientation,docking_am1bcc_350local_ddg_err_kcal_mol,docking_am1bcc_350local_failed,docking_am1bcc_350local_score,docking_am1bcc_350local_orientation_sign_vs_reference,docking_am1bcc_350local_ddg_kcal_mol,docking_am1bcc_350local_minus_docking_am1bcc_ddg_kcal_mol,docking_am1bcc_0local_oriented_edge_key,docking_am1bcc_0local_ddg_kcal_mol_original_orientation,docking_am1bcc_0local_ddg_err_kcal_mol,docking_am1bcc_0local_failed,docking_am1bcc_0local_score,docking_am1bcc_0local_orientation_sign_vs_reference,docking_am1bcc_0local_ddg_kcal_mol,docking_am1bcc_0local_minus_docking_am1bcc_ddg_kcal_mol,all_docked_edge_ddg_mean_kcal_mol,all_docked_edge_ddg_std_kcal_mol,all_docked_edge_ddg_range_kcal_mol,all_docked_edge_ddg_max_abs_deviation_from_mean_kcal_mol,am1bcc_edge_ddg_mean_kcal_mol,am1bcc_edge_ddg_std_kcal_mol,am1bcc_edge_ddg_range_kcal_mol,am1bcc_edge_ddg_max_abs_deviation_from_mean_kcal_mol,edge_in_docked_graph,xtal_nagl_ddg_kcal_mol,xtal_nagl_ddg_err_kcal_mol,xtal_nagl_failed,xtal_nagl_score,edge_in_xtal_graph
x7247a|x7433a,x7247a,x7433a,x7247a->x7433a,0.157,0.106,False,10.0,x7247a->x7433a,0.15,0.108,False,10.0,1.0,0.15,-0.007,x7247a->x7433a,0.447,0.076,False,10.0,1.0,0.447,0.29,x7247a->x7433a,0.535,0.106,False,10.0,1.0,0.535,0.378,x7247a->x7433a,0.363,0.106,False,10.0,1.0,0.363,0.206,0.3304,0.172576939363288,0.385,0.2046,0.3755,0.1617106469387013,0.378,0.2185,True,0.05,0.104,False,10.0,True
x7247a|x7501a,x7247a,x7501a,x7247a->x7501a,-0.802,0.091,False,12.0,x7247a->x7501a,-0.393,0.092,False,12.0,1.0,-0.393,0.409,x7247a->x7501a,0.193,0.066,False,12.0,1.0,0.193,0.995,x7247a->x7501a,-0.109,0.092,False,12.0,1.0,-0.109,0.6930000000000001,x7247a->x7501a,-0.896,0.092,False,12.0,1.0,-0.896,-0.0939999999999999,-0.4014,0.4593444241525089,1.089,0.5944,-0.4034999999999999,0.5303775384887008,1.089,0.5965,True,-0.547,0.115,False,12.0,True
x7257a|x7475a,x7257a,x7475a,x7257a->x7475a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.406,0.084,False,17.0,True
x7257a|x7501a,x7257a,x7501a,x7257a->x7501a,-0.601,0.1,False,19.0,x7257a->x7501a,-0.46,0.097,False,19.0,1.0,-0.46,0.1409999999999999,x7257a->x7501a,-0.141,0.076,False,19.0,1.0,-0.141,0.4599999999999999,x7257a->x7501a,-0.549,0.099,False,19.0,1.0,-0.549,0.0519999999999999,x7257a->x7501a,-0.257,0.101,False,19.0,1.0,-0.257,0.344,-0.4016,0.196035200920651,0.4599999999999999,0.2606,-0.387,0.2232009557924577,0.4599999999999999,0.246,True,,,,,False
x7259a|x7475a,x7259a,x7475a,x7259a->x7475a,0.437,0.104,False,8.0,x7259a->x7475a,-0.726,0.106,False,8.0,1.0,-0.726,-1.163,x7259a->x7475a,0.212,0.075,False,8.0,1.0,0.212,-0.225,x7259a->x7475a,0.256,0.106,False,8.0,1.0,0.256,-0.181,x7259a->x7475a,0.321,0.106,False,8.0,1.0,0.321,-0.1159999999999999,0.1,0.4694587308805748,1.163,0.826,0.3065,0.0978451157016366,0.225,0.1305,True,,,,,False
x7259a|x7533a,x7259a,x7533a,x7259a->x7533a,-0.758,0.062,False,8.0,x7259a->x7533a,-0.632,0.062,False,8.0,1.0,-0.632,0.126,x7259a->x7533a,-0.533,0.043,False,8.0,1.0,-0.533,0.2249999999999999,x7259a->x7533a,-0.672,0.064,False,8.0,1.0,-0.672,0.0859999999999999,x7259a->x7533a,-0.324,0.063,False,8.0,1.0,-0.324,0.434,-0.5838,0.1662263517015277,0.434,0.2598,-0.57175,0.1894032294691232,0.434,0.2477499999999999,True,-0.568,0.063,False,8.0,True
x7309a|x7570a,x7309a,x7570a,x7309a->x7570a,-0.826,0.095,False,12.0,x7309a->x7570a,0.256,0.097,False,12.0,1.0,0.256,1.082,x7309a->x7570a,-0.429,0.067,False,12.0,1.0,-0.429,0.3969999999999999,x7309a->x7570a,-0.891,0.096,False,12.0,1.0,-0.891,-0.065,x7309a->x7570a,-0.85,0.097,False,12.0,1.0,-0.85,-0.024,-0.5479999999999999,0.4864961459251244,1.147,0.8039999999999999,-0.749,0.2150147281777072,0.462,0.32,True,-0.468,0.095,False,12.0,True
x7316a|x7589a,x7316a,x7589a,x7316a->x7589a,-0.383,0.091,False,12.0,x7316a->x7589a,-0.14,0.091,False,12.0,1.0,-0.14,0.243,x7316a->x7589a,-0.348,0.062,False,12.0,1.0,-0.348,0.035,x7316a->x7589a,-0.15,0.088,False,12.0,1.0,-0.15,0.233,x7316a->x7589a,-0.285,0.09,False,12.0,1.0,-0.285,0.098,-0.2612,0.1117931124890974,0.243,0.1218,-0.2915,0.1026791117998203,0.233,0.1415,True,-0.218,0.092,False,12.0,True
x7317a|x7427a,x7317a,x7427a,x7317a->x7427a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,-0.155,0.101,False,15.0,True
x7433a|x7501a,x7433a,x7501a,x7433a->x7501a,-0.67,0.09,False,12.0,x7433a->x7501a,-1.581,0.091,False,12.0,1.0,-1.581,-0.911,x7433a->x7501a,-0.831,0.065,False,12.0,1.0,-0.831,-0.1609999999999999,x7433a->x7501a,-1.102,0.091,False,12.0,1.0,-1.102,-0.432,x7433a->x7501a,-1.538,0.092,False,12.0,1.0,-1.538,-0.868,-1.1444,0.4094548815193195,0.911,0.4744,-1.03525,0.3796220708371243,0.868,0.50275,True,-1.001,0.097,False,12.0,True
x7475a|x7510a,x7475a,x7510a,x7475a->x7510a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,-1.163,0.081,False,5.0,True
x7491a|x7501a,x7491a,x7501a,x7491a->x7501a,-0.295,0.071,False,10.0,x7491a->x7501a,-0.443,0.071,False,10.0,1.0,-0.443,-0.148,x7491a->x7501a,-0.221,0.05,False,10.0,1.0,-0.221,0.0739999999999999,x7491a->x7501a,-0.538,0.072,False,10.0,1.0,-0.538,-0.243,x7491a->x7501a,-0.109,0.071,False,10.0,1.0,-0.109,0.186,-0.3212,0.1714590330078879,0.429,0.2168,-0.29075,0.1817037423940409,0.429,0.24725,True,-0.684,0.098,False,16.0,True
x7491a|x7510a,x7491a,x7510a,x7491a->x7510a,-0.218,0.062,False,5.0,x7491a->x7510a,-0.018,0.064,False,5.0,1.0,-0.018,0.2,x7491a->x7510a,-0.273,0.044,False,5.0,1.0,-0.273,-0.055,x7491a->x7510a,-0.04,0.063,False,5.0,1.0,-0.04,0.178,x7491a->x7510a,0.104,0.062,False,5.0,1.0,0.104,0.322,-0.089,0.1542627628431437,0.377,0.193,-0.10675,0.1721305221820542,0.377,0.21075,True,,,,,False
x7501a|x7510a,x7501a,x7510a,x7501a->x7510a,0.085,0.059,False,5.0,x7501a->x7510a,0.145,0.061,False,5.0,1.0,0.145,0.0599999999999999,x7501a->x7510a,-0.033,0.043,False,5.0,1.0,-0.033,-0.118,x7501a->x7510a,0.108,0.059,False,5.0,1.0,0.108,0.0229999999999999,x7501a->x7510a,0.111,0.06,False,5.0,1.0,0.111,0.0259999999999999,0.0832,0.0683973683704278,0.178,0.1162,0.06775,0.0681634066050105,0.144,0.10075,True,,,,,False
