edge_key,reference_ligand_a,reference_ligand_b,reference_oriented_edge_key,docking_am1bcc_ddg_kcal_mol,docking_am1bcc_ddg_err_kcal_mol,docking_am1bcc_failed,docking_am1bcc_score,docking_nagl_oriented_edge_key,docking_nagl_ddg_kcal_mol_original_orientation,docking_nagl_ddg_err_kcal_mol,docking_nagl_failed,docking_nagl_score,docking_nagl_orientation_sign_vs_reference,docking_nagl_ddg_kcal_mol,docking_nagl_minus_docking_am1bcc_ddg_kcal_mol,docking_am1bcc_4ns_oriented_edge_key,docking_am1bcc_4ns_ddg_kcal_mol_original_orientation,docking_am1bcc_4ns_ddg_err_kcal_mol,docking_am1bcc_4ns_failed,docking_am1bcc_4ns_score,docking_am1bcc_4ns_orientation_sign_vs_reference,docking_am1bcc_4ns_ddg_kcal_mol,docking_am1bcc_4ns_minus_docking_am1bcc_ddg_kcal_mol,docking_am1bcc_350local_oriented_edge_key,docking_am1bcc_350local_ddg_kcal_mol_original_orientation,docking_am1bcc_350local_ddg_err_kcal_mol,docking_am1bcc_350local_failed,docking_am1bcc_350local_score,docking_am1bcc_350local_orientation_sign_vs_reference,docking_am1bcc_350local_ddg_kcal_mol,docking_am1bcc_350local_minus_docking_am1bcc_ddg_kcal_mol,docking_am1bcc_0local_oriented_edge_key,docking_am1bcc_0local_ddg_kcal_mol_original_orientation,docking_am1bcc_0local_ddg_err_kcal_mol,docking_am1bcc_0local_failed,docking_am1bcc_0local_score,docking_am1bcc_0local_orientation_sign_vs_reference,docking_am1bcc_0local_ddg_kcal_mol,docking_am1bcc_0local_minus_docking_am1bcc_ddg_kcal_mol,all_docked_edge_ddg_mean_kcal_mol,all_docked_edge_ddg_std_kcal_mol,all_docked_edge_ddg_range_kcal_mol,all_docked_edge_ddg_max_abs_deviation_from_mean_kcal_mol,am1bcc_edge_ddg_mean_kcal_mol,am1bcc_edge_ddg_std_kcal_mol,am1bcc_edge_ddg_range_kcal_mol,am1bcc_edge_ddg_max_abs_deviation_from_mean_kcal_mol,edge_in_docked_graph,xtal_nagl_ddg_kcal_mol,xtal_nagl_ddg_err_kcal_mol,xtal_nagl_failed,xtal_nagl_score,edge_in_xtal_graph
x7011a|x7127a,x7011a,x7127a,x7011a->x7127a,0.379,0.072,False,10.0,x7011a->x7127a,0.314,0.074,False,10.0,1.0,0.314,-0.065,x7011a->x7127a,0.73,0.051,False,10.0,1.0,0.73,0.351,x7011a->x7127a,0.557,0.071,False,10.0,1.0,0.557,0.178,x7011a->x7127a,0.315,0.073,False,10.0,1.0,0.315,-0.064,0.4589999999999999,0.1811118438976313,0.416,0.271,0.4952499999999999,0.1870158192952314,0.415,0.23475,True,-0.06,0.072,False,10.0,True
x7011a|x7132a,x7011a,x7132a,x7011a->x7132a,0.871,0.079,False,13.0,x7011a->x7132a,0.568,0.077,False,13.0,1.0,0.568,-0.303,x7011a->x7132a,1.078,0.055,False,13.0,1.0,1.078,0.207,x7011a->x7132a,1.033,0.078,False,13.0,1.0,1.033,0.1619999999999999,x7011a->x7132a,1.186,0.075,False,13.0,1.0,1.186,0.3149999999999999,0.9472000000000002,0.2403616025907632,0.618,0.3792000000000002,1.042,0.1308357749241391,0.3149999999999999,0.171,True,,,,,False
x7011a|x7135a,x7011a,x7135a,x7011a->x7135a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,-0.223,0.061,False,5.0,True
x7011a|x7147a,x7011a,x7147a,x7011a->x7147a,-0.459,0.067,False,10.0,x7011a->x7147a,0.128,0.07,False,10.0,1.0,0.128,0.587,x7011a->x7147a,-0.264,0.049,False,10.0,1.0,-0.264,0.195,x7011a->x7147a,-0.449,0.07,False,10.0,1.0,-0.449,0.01,x7011a->x7147a,-0.581,0.069,False,10.0,1.0,-0.581,-0.1219999999999999,-0.325,0.2773977289020225,0.709,0.453,-0.43825,0.1307500796685544,0.3169999999999999,0.17425,True,-0.4,0.069,False,10.0,True
x7011a|x7175a,x7011a,x7175a,x7011a->x7175a,-0.305,0.071,False,9.0,x7011a->x7175a,-0.308,0.07,False,9.0,1.0,-0.308,-0.003,x7011a->x7175a,-0.244,0.05,False,9.0,1.0,-0.244,0.061,x7011a->x7175a,-0.052,0.069,False,9.0,1.0,-0.052,0.253,x7011a->x7175a,-0.09,0.07,False,9.0,1.0,-0.09,0.215,-0.1998,0.1210669236414306,0.256,0.1478,-0.17275,0.1210987888736574,0.253,0.13225,True,0.28,0.069,False,9.0,True
x7011a|x7259a,x7011a,x7259a,x7011a->x7259a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.545,0.076,False,5.0,True
x7011a|x7475a,x7011a,x7475a,x7011a->x7475a,0.346,0.121,False,13.0,x7011a->x7475a,0.099,0.123,False,13.0,1.0,0.099,-0.2469999999999999,x7011a->x7475a,0.72,0.087,False,13.0,1.0,0.72,0.374,x7011a->x7475a,0.447,0.122,False,13.0,1.0,0.447,0.101,x7011a->x7475a,0.463,0.123,False,13.0,1.0,0.463,0.117,0.415,0.2241483883502177,0.621,0.316,0.494,0.1593214779410903,0.374,0.2259999999999999,True,,,,,False
x7024a|x7026a,x7024a,x7026a,x7024a->x7026a,-0.335,0.091,False,11.0,x7024a->x7026a,0.302,0.09,False,11.0,1.0,0.302,0.637,x7024a->x7026a,0.049,0.063,False,11.0,1.0,0.049,0.384,x7024a->x7026a,0.188,0.091,False,11.0,1.0,0.188,0.523,x7024a->x7026a,0.32,0.091,False,11.0,1.0,0.32,0.655,0.1048,0.2686348823217119,0.655,0.4398,0.0554999999999999,0.2828715845279149,0.655,0.3905,True,,,,,False
x7024a|x7056a,x7024a,x7056a,x7024a->x7056a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.015,0.097,False,9.0,True
x7024a|x7093a,x7024a,x7093a,x7024a->x7093a,-0.161,0.093,False,10.0,x7024a->x7093a,-0.225,0.093,False,10.0,1.0,-0.225,-0.064,x7024a->x7093a,-0.081,0.067,False,10.0,1.0,-0.081,0.08,x7024a->x7093a,-0.404,0.094,False,10.0,1.0,-0.404,-0.243,x7024a->x7093a,-0.098,0.093,False,10.0,1.0,-0.098,0.063,-0.1938,0.1305132177214246,0.323,0.2102,-0.186,0.1493519333654573,0.323,0.218,True,,,,,False
x7024a|x7101a,x7024a,x7101a,x7024a->x7101a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.09,0.095,False,9.0,True
x7025a|x7026a,x7025a,x7026a,x7025a->x7026a,0.605,0.083,False,11.0,x7025a->x7026a,0.343,0.082,False,11.0,1.0,0.343,-0.2619999999999999,x7025a->x7026a,0.197,0.059,False,11.0,1.0,0.197,-0.408,x7025a->x7026a,0.111,0.083,False,11.0,1.0,0.111,-0.494,x7025a->x7026a,0.503,0.085,False,11.0,1.0,0.503,-0.1019999999999999,0.3518,0.205546101884711,0.494,0.2532,0.354,0.2372762103540934,0.494,0.251,True,,,,,False
x7025a|x7101a,x7025a,x7101a,x7025a->x7101a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.094,0.099,False,13.0,True
x7025a|x7317a,x7025a,x7317a,x7025a->x7317a,0.009,0.086,False,9.0,x7025a->x7317a,-0.027,0.086,False,9.0,1.0,-0.027,-0.036,x7025a->x7317a,0.35,0.062,False,9.0,1.0,0.35,0.3409999999999999,x7025a->x7317a,0.403,0.088,False,9.0,1.0,0.403,0.394,x7025a->x7317a,0.003,0.088,False,9.0,1.0,0.003,-0.0059999999999999,0.1476,0.2102374847642541,0.43,0.2554,0.19125,0.2150137592496505,0.4,0.21175,True,,,,,False
x7025a|x7533a,x7025a,x7533a,x7025a->x7533a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.448,0.084,False,11.0,True
x7026a|x7056a,x7026a,x7056a,x7026a->x7056a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.081,0.084,False,8.0,True
x7026a|x7093a,x7026a,x7093a,x7026a->x7093a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,-0.285,0.088,False,11.0,True
x7026a|x7190a,x7026a,x7190a,x7026a->x7190a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,-0.392,0.099,False,23.0,True
x7026a|x7247a,x7026a,x7247a,x7026a->x7247a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1.115,0.106,False,20.0,True
x7026a|x7257a,x7026a,x7257a,x7026a->x7257a,0.402,0.095,False,19.0,x7026a->x7257a,0.98,0.106,False,19.0,1.0,0.98,0.578,x7026a->x7257a,0.422,0.067,False,19.0,1.0,0.422,0.0199999999999999,x7026a->x7257a,0.194,0.109,False,19.0,1.0,0.194,-0.208,x7026a->x7257a,0.43,0.1,False,19.0,1.0,0.43,0.0279999999999999,0.4856,0.2930815586146627,0.786,0.4944,0.362,0.1126173462068196,0.236,0.1679999999999999,True,-0.135,0.096,False,19.0,True
x7026a|x7316a,x7026a,x7316a,x7026a->x7316a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,-0.484,0.094,False,15.0,True
x7026a|x7427a,x7026a,x7427a,x7026a->x7427a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,-0.048,0.081,False,13.0,True
x7026a|x7510a,x7026a,x7510a,x7026a->x7510a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.438,0.085,False,13.0,True
x7026a|x7589a,x7026a,x7589a,x7026a->x7589a,-0.604,0.088,False,9.0,x7026a->x7589a,-0.156,0.086,False,9.0,1.0,-0.156,0.4479999999999999,x7026a->x7589a,-0.627,0.063,False,9.0,1.0,-0.627,-0.023,x7026a->x7589a,-0.643,0.086,False,9.0,1.0,-0.643,-0.039,x7026a->x7589a,-1.083,0.087,False,9.0,1.0,-1.083,-0.479,-0.6226,0.3280492341097598,0.927,0.4666,-0.73925,0.2297250167773055,0.479,0.34375,True,,,,,False
x7031a|x7316a,x7031a,x7316a,x7031a->x7316a,0.353,0.076,False,12.0,x7031a->x7316a,0.247,0.078,False,12.0,1.0,0.247,-0.1059999999999999,x7031a->x7316a,0.352,0.054,False,12.0,1.0,0.352,-0.001,x7031a->x7316a,0.465,0.075,False,12.0,1.0,0.465,0.112,x7031a->x7316a,0.553,0.073,False,12.0,1.0,0.553,0.2,0.394,0.1176605286406618,0.306,0.159,0.4307499999999999,0.0972363957922478,0.201,0.12225,True,0.291,0.078,False,6.0,True
x7031a|x7501a,x7031a,x7501a,x7031a->x7501a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1.202,0.087,False,11.0,True
x7031a|x7589a,x7031a,x7589a,x7031a->x7589a,0.274,0.084,False,8.0,x7031a->x7589a,-0.028,0.083,False,8.0,1.0,-0.028,-0.302,x7031a->x7589a,0.096,0.059,False,8.0,1.0,0.096,-0.178,x7031a->x7589a,-0.094,0.083,False,8.0,1.0,-0.094,-0.368,x7031a->x7589a,0.166,0.084,False,8.0,1.0,0.166,-0.108,0.0828,0.1476387483013859,0.368,0.1912,0.1105,0.1547503365639851,0.368,0.2045,True,0.14,0.082,False,6.0,True
x7056a|x7101a,x7056a,x7101a,x7056a->x7101a,-0.11,0.104,False,12.0,x7056a->x7101a,-0.266,0.105,False,12.0,1.0,-0.266,-0.156,x7056a->x7101a,-0.138,0.074,False,12.0,1.0,-0.138,-0.028,x7056a->x7101a,0.204,0.104,False,12.0,1.0,0.204,0.314,x7056a->x7101a,0.01,0.104,False,12.0,1.0,0.01,0.12,-0.06,0.1772117377602285,0.47,0.264,-0.0085,0.1555324189143,0.3419999999999999,0.2125,True,0.059,0.103,False,12.0,True
x7056a|x7190a,x7056a,x7190a,x7056a->x7190a,-0.774,0.114,False,27.0,x7056a->x7190a,-0.471,0.115,False,27.0,1.0,-0.471,0.303,x7056a->x7190a,-0.677,0.079,False,27.0,1.0,-0.677,0.0969999999999999,x7056a->x7190a,-0.446,0.116,False,27.0,1.0,-0.446,0.328,x7056a->x7190a,-0.203,0.113,False,27.0,1.0,-0.203,0.571,-0.5142,0.2221276659941305,0.571,0.3112,-0.525,0.2549705865389183,0.571,0.322,True,,,,,False
x7056a|x7317a,x7056a,x7317a,x7056a->x7317a,-0.409,0.082,False,14.0,x7056a->x7317a,-0.369,0.082,False,14.0,1.0,-0.369,0.0399999999999999,x7056a->x7317a,-0.322,0.059,False,14.0,1.0,-0.322,0.0869999999999999,x7056a->x7317a,-0.07,0.083,False,14.0,1.0,-0.07,0.3389999999999999,x7056a->x7317a,-0.336,0.085,False,14.0,1.0,-0.336,0.0729999999999999,-0.3012,0.1335241551180908,0.3389999999999999,0.2312,-0.28425,0.1478385944197252,0.3389999999999999,0.21425,True,,,,,False
x7056a|x7427a,x7056a,x7427a,x7056a->x7427a,-0.13,0.102,False,17.0,x7056a->x7427a,-0.193,0.103,False,17.0,1.0,-0.193,-0.063,x7056a->x7427a,-0.052,0.073,False,17.0,1.0,-0.052,0.078,x7056a->x7427a,0.263,0.102,False,17.0,1.0,0.263,0.393,x7056a->x7427a,0.07,0.102,False,17.0,1.0,0.07,0.2,-0.0083999999999999,0.1806718018950384,0.456,0.2714,0.03775,0.171243248042076,0.393,0.22525,True,,,,,False
x7093a|x7317a,x7093a,x7317a,x7093a->x7317a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.583,0.087,False,9.0,True
x7093a|x7501a,x7093a,x7501a,x7093a->x7501a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.519,0.087,False,11.0,True
x7101a|x7427a,x7101a,x7427a,x7101a->x7427a,0.301,0.107,False,17.0,x7101a->x7427a,-0.005,0.108,False,17.0,1.0,-0.005,-0.306,x7101a->x7427a,0.302,0.075,False,17.0,1.0,0.302,0.001,x7101a->x7427a,0.251,0.106,False,17.0,1.0,0.251,-0.0499999999999999,x7101a->x7427a,0.137,0.107,False,17.0,1.0,0.137,-0.1639999999999999,0.1972,0.131492205092165,0.307,0.2022,0.24775,0.0775773807240228,0.1649999999999999,0.1107499999999999,True,,,,,False
x7127a|x7132a,x7127a,x7132a,x7127a->x7132a,0.275,0.078,False,5.0,x7127a->x7132a,0.402,0.077,False,5.0,1.0,0.402,0.127,x7127a->x7132a,0.335,0.056,False,5.0,1.0,0.335,0.06,x7127a->x7132a,0.045,0.079,False,5.0,1.0,0.045,-0.23,x7127a->x7132a,0.416,0.077,False,5.0,1.0,0.416,0.1409999999999999,0.2946,0.1504901990164143,0.371,0.2496,0.26775,0.1593431830986189,0.371,0.22275,True,0.342,0.1,False,11.0,True
x7127a|x7533a,x7127a,x7533a,x7127a->x7533a,-0.502,0.081,False,9.0,x7127a->x7533a,-0.4,0.084,False,9.0,1.0,-0.4,0.1019999999999999,x7127a->x7533a,-0.391,0.059,False,9.0,1.0,-0.391,0.1109999999999999,x7127a->x7533a,-0.691,0.082,False,9.0,1.0,-0.691,-0.1889999999999999,x7127a->x7533a,-0.899,0.083,False,9.0,1.0,-0.899,-0.397,-0.5766,0.216926946228448,0.508,0.3224,-0.62075,0.2230431572588587,0.508,0.27825,True,-0.577,0.081,False,9.0,True
x7132a|x7147a,x7132a,x7147a,x7132a->x7147a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,-1.43,0.095,False,13.0,True
x7132a|x7533a,x7132a,x7533a,x7132a->x7533a,-1.189,0.091,False,12.0,x7132a->x7533a,-1.467,0.089,False,12.0,1.0,-1.467,-0.278,x7132a->x7533a,-1.275,0.064,False,12.0,1.0,-1.275,-0.0859999999999998,x7132a->x7533a,-1.032,0.09,False,12.0,1.0,-1.032,0.157,x7132a->x7533a,-0.888,0.094,False,12.0,1.0,-0.888,0.301,-1.1702,0.2225774022671663,0.5790000000000001,0.2968000000000002,-1.096,0.1713184169901181,0.3869999999999999,0.208,True,-1.395,0.091,False,12.0,True
x7135a|x7259a,x7135a,x7259a,x7135a->x7259a,0.56,0.083,False,10.0,x7135a->x7259a,0.182,0.083,False,10.0,1.0,0.182,-0.378,x7135a->x7259a,0.125,0.059,False,10.0,1.0,0.125,-0.435,x7135a->x7259a,0.477,0.086,False,10.0,1.0,0.477,-0.083,x7135a->x7259a,0.546,0.084,False,10.0,1.0,0.546,-0.014,0.378,0.2083110654766088,0.435,0.253,0.427,0.2045759842536101,0.435,0.302,True,,,,,False
x7135a|x7570a,x7135a,x7570a,x7135a->x7570a,-1.221,0.1,False,11.0,x7135a->x7570a,-1.095,0.1,False,11.0,1.0,-1.095,0.1260000000000001,x7135a->x7570a,-1.08,0.071,False,11.0,1.0,-1.08,0.141,x7135a->x7570a,-1.293,0.1,False,11.0,1.0,-1.293,-0.0719999999999998,x7135a->x7570a,-0.791,0.1,False,11.0,1.0,-0.791,0.43,-1.096,0.192169196282859,0.5019999999999999,0.305,-1.0962500000000002,0.2218969355353966,0.5019999999999999,0.3052500000000001,True,-0.362,0.1,False,11.0,True
