engine;min_replicas;site;x;y;z;n_members;n_replicas;mean_occupancy;max_occupancy;spread_A;nearest_crystal_A
LOCH;4;CS024;18.273;25.528;9.088;6;4;0.1600;0.2300;1.035;1.588
LOCH;4;CS025;15.596;28.271;3.437;8;4;0.1588;0.3500;0.981;4.231
LOCH;4;CS026;16.372;29.439;6.691;6;4;0.1583;0.2600;0.964;4.578
LOCH;4;CS027;17.334;27.746;7.016;5;4;0.1560;0.1900;0.892;3.329
LOCH;4;CS028;19.842;27.270;5.492;5;4;0.1560;0.2500;1.026;4.129
LOCH;4;CS029;22.112;21.396;10.109;4;4;0.1550;0.2100;0.762;0.830
LOCH;4;CS030;16.897;29.115;4.700;4;4;0.1550;0.2100;0.682;4.511
LOCH;4;CS031;22.545;22.631;10.017;5;4;0.1540;0.2000;0.928;2.079
LOCH;4;CS032;18.163;28.762;7.501;5;4;0.1500;0.1700;0.997;4.038
LOCH;4;CS033;18.482;26.955;8.149;7;4;0.1500;0.2100;1.084;2.256
LOCH;4;CS034;14.682;29.410;10.917;7;4;0.1486;0.2400;1.140;5.240
LOCH;4;CS035;13.192;29.087;5.067;8;4;0.1475;0.1800;0.941;5.011
LOCH;4;CS036;20.027;26.495;10.690;8;4;0.1425;0.2000;1.244;1.752
LOCH;4;CS037;21.062;24.971;11.483;6;4;0.1417;0.1900;0.869;2.611
LOCH;4;CS038;21.725;23.946;10.519;6;4;0.1417;0.1700;1.182;2.768
LOCH;4;CS039;14.757;28.058;2.042;6;4;0.1417;0.1900;1.157;5.180
LOCH;4;CS040;11.510;29.681;6.211;7;4;0.1371;0.1900;1.110;6.417
LOCH;4;CS041;14.815;29.895;7.825;4;4;0.1350;0.1600;0.911;5.364
LOCH;4;CS042;15.041;29.409;5.509;5;4;0.1260;0.1400;0.888;4.568
LOCH;4;CS043;20.640;23.033;12.524;4;4;0.1225;0.1600;0.769;2.946
