engine;min_replicas;site;x;y;z;n_members;n_replicas;mean_occupancy;max_occupancy;spread_A;nearest_crystal_A
GRAND;6;CS010;22.261;20.914;11.025;25;12;0.1876;0.3500;1.109;1.342
GRAND;6;CS011;14.466;27.973;9.511;27;12;0.1837;0.3100;1.551;4.297
GRAND;6;CS012;12.001;29.282;4.433;17;12;0.1718;0.2200;0.935;6.008
GRAND;6;CS013;18.679;23.506;11.550;25;12;0.1712;0.2800;1.417;1.016
GRAND;6;CS014;15.107;26.913;7.993;22;12;0.1686;0.2900;1.144;2.871
GRAND;6;CS015;20.171;22.837;13.437;19;12;0.1579;0.2300;1.181;3.011
GRAND;6;CS016;18.424;27.613;8.824;18;12;0.1572;0.2700;1.246;2.559
GRAND;6;CS017;15.498;28.044;2.038;20;12;0.1565;0.2700;1.207;5.072
GRAND;6;CS018;17.802;28.964;4.836;17;12;0.1518;0.2100;1.268;4.638
GRAND;6;CS019;16.555;29.416;5.863;15;12;0.1493;0.2000;1.118;4.537
GRAND;6;CS020;22.217;22.749;11.429;13;12;0.1462;0.2200;0.926;2.673
GRAND;6;CS021;13.810;30.007;9.168;22;12;0.1386;0.1900;1.250;6.290
GRAND;6;CS022;18.913;20.448;7.702;19;11;0.2542;0.5400;1.448;2.612
GRAND;6;CS023;15.989;24.079;10.935;20;11;0.2505;0.4700;1.108;0.864
GRAND;6;CS024;16.109;24.701;6.743;21;11;0.2114;0.4200;1.246;0.796
GRAND;6;CS025;14.685;25.491;5.710;17;11;0.1976;0.4100;1.245;1.313
GRAND;6;CS026;19.011;21.524;10.987;14;11;0.1914;0.3300;1.034;1.803
GRAND;6;CS027;16.110;28.521;3.881;14;11;0.1714;0.2900;1.064;4.188
GRAND;6;CS028;12.924;28.913;7.509;13;11;0.1685;0.2400;0.882;5.138
GRAND;6;CS029;19.980;24.122;9.392;16;11;0.1669;0.2200;1.413;1.424
GRAND;6;CS030;17.488;28.803;10.364;19;11;0.1637;0.3000;1.241;4.191
GRAND;6;CS031;20.799;24.955;12.567;15;11;0.1527;0.2200;1.213;3.510
GRAND;6;CS032;21.175;23.537;9.819;14;11;0.1471;0.1800;1.118;2.463
GRAND;6;CS033;20.582;26.806;9.622;17;11;0.1435;0.2400;1.258;1.517
GRAND;6;CS034;21.935;24.798;9.283;20;11;0.1415;0.2400;1.623;2.207
GRAND;6;CS035;12.930;28.288;5.156;13;11;0.1300;0.1700;1.033;4.517
GRAND;6;CS036;16.172;29.863;8.608;16;11;0.1269;0.1700;1.237;5.564
GRAND;6;CS037;15.359;15.978;13.974;14;10;0.5593;0.9300;0.788;0.931
GRAND;6;CS038;13.977;16.230;16.158;12;10;0.4483;0.7500;0.854;0.159
GRAND;6;CS039;17.743;22.326;8.469;21;10;0.2214;0.4000;1.245;3.044
GRAND;6;CS040;14.371;27.519;4.106;10;10;0.2030;0.3700;0.911;3.537
GRAND;6;CS041;15.477;26.806;10.112;18;10;0.1922;0.3700;1.241;2.663
GRAND;6;CS042;21.857;25.508;7.676;19;10;0.1842;0.4000;1.388;2.540
GRAND;6;CS043;19.864;25.740;8.683;12;10;0.1842;0.2900;1.064;0.592
GRAND;6;CS044;12.191;29.554;6.599;19;10;0.1784;0.2600;1.395;5.904
GRAND;6;CS045;14.139;26.419;0.029;14;10;0.1750;0.3000;1.075;6.415
GRAND;6;CS046;18.687;25.331;9.030;12;10;0.1633;0.2100;1.008;1.203
GRAND;6;CS047;21.799;21.957;10.070;13;10;0.1623;0.2700;1.022;1.307
GRAND;6;CS048;20.031;27.000;11.578;10;10;0.1550;0.2400;0.975;2.769
GRAND;6;CS049;22.947;22.640;9.933;10;10;0.1550;0.2300;1.184;2.246
GRAND;6;CS050;18.570;27.441;11.344;17;10;0.1500;0.2900;1.098;3.120
GRAND;6;CS051;17.055;26.326;10.181;10;10;0.1500;0.1900;1.225;1.927
GRAND;6;CS052;16.640;26.538;8.866;11;10;0.1473;0.2100;1.156;2.826
GRAND;6;CS053;21.636;24.379;11.226;13;10;0.1454;0.2000;1.138;2.909
GRAND;6;CS054;18.863;28.744;6.832;20;10;0.1450;0.2200;1.245;4.134
GRAND;6;CS055;14.482;29.536;5.179;12;10;0.1350;0.1900;1.464;4.865
GRAND;6;CS056;19.978;27.841;8.142;11;10;0.1282;0.1700;1.027;2.558
GRAND;6;CS057;16.213;24.926;9.653;12;9;0.2108;0.3200;1.051;1.380
GRAND;6;CS058;16.600;27.350;4.417;9;9;0.1989;0.2900;0.538;3.003
GRAND;6;CS059;15.559;29.126;11.523;19;9;0.1979;0.3200;1.354;4.735
GRAND;6;CS060;18.235;26.268;7.746;14;9;0.1857;0.2700;1.249;2.321
GRAND;6;CS061;17.412;27.949;6.958;11;9;0.1709;0.3000;1.162;3.520
GRAND;6;CS062;19.809;25.608;11.763;13;9;0.1708;0.2400;1.191;2.527
GRAND;6;CS063;18.597;25.401;10.843;11;9;0.1627;0.2100;1.176;2.044
GRAND;6;CS064;17.532;28.085;3.242;14;9;0.1600;0.2200;1.250;4.538
GRAND;6;CS065;10.700;29.705;6.402;13;9;0.1492;0.2500;1.391;7.012
GRAND;6;CS066;18.865;21.678;9.427;9;9;0.1433;0.2000;0.790;2.155
GRAND;6;CS067;13.801;28.784;6.334;11;9;0.1427;0.2400;1.034;4.356
GRAND;6;CS068;15.344;29.944;7.189;15;9;0.1393;0.2100;1.299;5.157
GRAND;6;CS069;16.280;16.564;14.979;11;8;0.2273;0.5000;1.271;0.892
GRAND;6;CS070;16.966;23.713;8.245;10;8;0.2010;0.3700;0.907;2.769
GRAND;6;CS071;14.119;26.990;6.496;8;8;0.1913;0.3200;0.925;2.710
GRAND;6;CS072;20.908;26.879;5.692;13;8;0.1700;0.2600;1.063;3.936
GRAND;6;CS073;20.996;23.051;12.417;8;8;0.1613;0.2500;0.946;3.248
GRAND;6;CS074;17.900;26.661;5.401;11;8;0.1582;0.3200;1.114;2.764
GRAND;6;CS075;14.131;28.465;7.888;10;8;0.1530;0.2500;1.118;4.329
GRAND;6;CS076;16.212;27.306;6.878;10;8;0.1520;0.2000;1.036;2.539
GRAND;6;CS077;13.671;29.344;3.941;8;8;0.1212;0.1500;0.921;5.334
GRAND;6;CS078;14.139;26.012;1.197;7;7;0.3014;0.5500;0.959;5.238
GRAND;6;CS079;14.753;26.349;11.136;8;7;0.2288;0.3900;1.071;2.644
GRAND;6;CS080;18.052;23.547;12.887;9;7;0.2122;0.3100;1.091;1.590
GRAND;6;CS081;18.796;23.613;14.829;14;7;0.1907;0.3300;1.236;3.566
GRAND;6;CS082;10.966;26.407;0.885;8;7;0.1625;0.2500;0.841;7.237
GRAND;6;CS083;16.790;28.312;8.376;8;7;0.1562;0.1900;1.024;4.214
GRAND;6;CS084;18.821;23.346;10.012;9;7;0.1522;0.3000;1.038;1.785
GRAND;6;CS085;14.228;29.800;10.811;10;7;0.1510;0.2500;0.734;5.782
GRAND;6;CS086;12.812;28.303;2.724;8;7;0.1475;0.2100;0.861;5.604
GRAND;6;CS087;16.098;28.056;5.610;7;7;0.1457;0.2100;0.844;3.156
GRAND;6;CS088;12.332;27.304;1.022;8;7;0.1363;0.1800;0.940;6.556
GRAND;6;CS089;19.409;27.731;10.294;7;7;0.1329;0.2100;0.949;2.480
GRAND;6;CS090;21.269;25.645;10.957;7;7;0.1257;0.1500;0.799;2.231
GRAND;6;CS091;13.555;30.262;6.864;7;7;0.1214;0.1500;0.739;5.846
GRAND;6;CS092;13.213;28.428;9.088;7;6;0.1614;0.2200;0.892;5.322
GRAND;6;CS093;13.736;27.955;1.793;10;6;0.1540;0.2500;1.206;5.612
GRAND;6;CS094;14.680;29.025;3.312;7;6;0.1457;0.1900;1.053;5.043
GRAND;6;CS095;17.295;29.221;7.112;7;6;0.1314;0.1600;0.893;4.649
GRAND;6;CS096;15.083;28.370;6.782;6;6;0.1283;0.1600;0.935;3.588
GRAND;12;CS001;22.478;22.218;7.547;20;12;0.4820;0.8500;1.253;1.011
GRAND;12;CS002;21.065;20.167;7.528;14;12;0.4500;0.8400;0.970;2.429
GRAND;12;CS003;20.159;19.223;9.940;24;12;0.4433;0.7600;1.218;0.827
GRAND;12;CS004;10.952;27.841;2.222;22;12;0.2136;0.3700;1.231;6.840
GRAND;12;CS005;20.000;21.644;11.871;24;12;0.2087;0.4200;1.411;2.464
GRAND;12;CS006;14.322;23.036;12.266;20;12;0.2020;0.4200;1.189;3.143
GRAND;12;CS007;14.295;26.686;5.095;19;12;0.2000;0.3700;1.371;2.509
GRAND;12;CS008;20.286;21.761;14.642;22;12;0.1995;0.4400;1.447;4.127
GRAND;12;CS009;12.760;26.923;3.073;20;12;0.1970;0.3200;1.241;4.707
GRAND;12;CS010;22.261;20.914;11.025;25;12;0.1876;0.3500;1.109;1.342
GRAND;12;CS011;14.466;27.973;9.511;27;12;0.1837;0.3100;1.551;4.297
GRAND;12;CS012;12.001;29.282;4.433;17;12;0.1718;0.2200;0.935;6.008
GRAND;12;CS013;18.679;23.506;11.550;25;12;0.1712;0.2800;1.417;1.016
GRAND;12;CS014;15.107;26.913;7.993;22;12;0.1686;0.2900;1.144;2.871
GRAND;12;CS015;20.171;22.837;13.437;19;12;0.1579;0.2300;1.181;3.011
GRAND;12;CS016;18.424;27.613;8.824;18;12;0.1572;0.2700;1.246;2.559
GRAND;12;CS017;15.498;28.044;2.038;20;12;0.1565;0.2700;1.207;5.072
GRAND;12;CS018;17.802;28.964;4.836;17;12;0.1518;0.2100;1.268;4.638
GRAND;12;CS019;16.555;29.416;5.863;15;12;0.1493;0.2000;1.118;4.537
